"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
30,"LEF1",51176,0.9999964711924649,0.0013555383423702555,0.9999999999999991,0.11057319907048799,0.9439344971440196,0.1192873741285825,-1.0,0.0,0.9999999999999991,0.06003098373353989,0.9999982351397115,0.003098373353989156,0.8424806582671711,0.197714949651433,0.760949766143747,0.11289697908597986,-1.0,0.0,0.9998520788890422,0.03446940356312936,0.9999999959110153,0.015104570100697134,0.9999999996840343,0.023818745158791635,0.9971464300772717,1.448548303916164E-4
31,"COL6A1",1291,0.5482094798944793,0.14794732765298219,0.9999999999997686,0.11057319907048799,0.9996690551525651,0.03195197521301317,0.9999999999999996,0.04124709527498063,0.983981484867514,0.10089078233927189,0.9893160759176239,0.009876065065840434,0.8424806582671707,0.197714949651433,0.7571321588483283,0.11347792408985283,0.4882945011155399,0.004453911696359412,0.9999999995452993,0.012199845081332301,0.9999983467463736,0.017428350116189,0.9881427119745189,0.06080557707203718,0.9338885737854183,1.4660167850333305E-4
32,"FLT1",2321,0.9995209419788951,0.009682416731216111,1.0,0.11057319907048799,0.998050079977543,0.048024786986831915,-1.0,0.0,0.9999999999999587,0.06003098373353989,0.8436919836292358,0.022463206816421378,0.8424806582671707,0.197714949651433,0.7584893829151031,0.11347792408985283,0.5069739612795876,0.003292021688613478,0.9999560148701093,0.02769171185127808,0.9901359710383957,0.056545313710302095,1.0,0.023818745158791635,0.9470618034856156,1.5709555873411052E-4
33,"MEF2C",4208,0.9999986882592075,9.682416731216112E-4,0.9999999999999991,0.11057319907048799,0.9961556299359066,0.0575135553834237,0.9999999999999996,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.8230933009011312,0.023818745158791635,0.8424806582671714,0.197714949651433,0.7587784444563146,0.11328427575522851,0.0,0.5075522850503486,0.9999748644669862,0.02420604182804028,0.999999933763046,0.015104570100697134,0.9999999974764112,0.023818745158791635,0.9086549034000426,1.6160254231667448E-4
34,"HK1",3098,0.9999663390938494,0.0038729666924864447,0.9999999999999991,0.11057319907048799,0.9999997805641293,0.009101471727343146,0.9999999996575097,0.04124709527498063,0.999999999722916,0.06003098373353989,0.9801528610784397,0.010844306738962044,0.842480658267164,0.197714949651433,0.759834007083182,0.11309062742060419,-1.0,0.0,0.9921668316547997,0.08326878388845856,0.9996113125674633,0.03466305189775368,0.9999069699970357,0.032532920216886134,0.9986445658566899,1.6576730350759128E-4
35,"RUNX1",861,0.9999978320048996,9.682416731216112E-4,0.9999999999999991,0.11057319907048799,0.9942152046077594,0.06506584043377227,-1.0,0.0,0.9999999999999996,0.06003098373353989,0.841867660323469,0.0226568551510457,0.8424806582671711,0.197714949651433,0.7609984278751185,0.11289697908597986,-1.0,0.0,0.9999971592087059,0.016072811773818745,0.9999986079632769,0.017428350116189,1.0,0.023818745158791635,0.9914643586697306,1.712009030154782E-4
36,"APP",351,0.9999830618791077,0.0029047250193648335,0.9999999999999991,0.11057319907048799,0.9999999999998166,0.0087141750580945,0.9999999745331193,0.04124709527498063,1.0,0.06003098373353989,0.7351986133659054,0.029047250193648334,0.8424806582671711,0.197714949651433,0.7609984278766828,0.11289697908597986,0.0,0.5075522850503486,0.9999999999731706,0.012199845081332301,0.9749444342065153,0.06700232378001549,1.0,0.023818745158791635,0.9037360286884987,1.7494240100068836E-4
37,"PPARGC1A",10891,0.9999917111299257,0.0021301316808675446,1.0,0.11057319907048799,0.9997891183899041,0.030015491866769946,0.9999999999999991,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.9732283654615665,0.011425251742835011,0.8424806582671711,0.197714949651433,0.7609379325656904,0.11289697908597986,0.0,0.5075522850503486,0.9988693412174114,0.05460883036405887,0.9999999999999991,0.015104570100697134,0.9999999999985096,0.023818745158791635,0.915484960865567,1.7511008234871728E-4
38,"SLC1A3",6507,0.9996950114994252,0.008520526723470178,0.9999999999999996,0.11057319907048799,0.9998640385013401,0.027498063516653758,0.9999996935798661,0.041828040278853604,1.0,0.06003098373353989,0.41655735472796784,0.04996127033307514,0.8424806582671711,0.197714949651433,0.6722309500192343,0.12238574748257165,0.2009100863017742,0.009876065065840434,0.9999559339399001,0.02769171185127808,0.9998485699595997,0.03040278853601859,0.9758614704419478,0.06951975213013169,0.8978117435062795,1.7649137617492539E-4
39,"DDR2",4921,0.9978160013196079,0.02420604182804028,0.9999999999999991,0.11057319907048799,0.9966588764937383,0.05557707203718048,0.9999999999999996,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.07594765932088898,0.08965917893106119,0.8424806582290449,0.197714949651433,0.6379470818610941,0.12567776917118512,0.5069739612795876,0.003292021688613478,0.9999828861519849,0.021688613477924088,0.9999943268026622,0.0191711851278079,0.999237812044904,0.04298993028659954,0.891250151011131,1.8053509313542548E-4
40,"FYN",2534,0.9999607466303784,0.004453911696359412,0.9999999999999996,0.11057319907048799,0.9999980074355806,0.012393493415956624,-1.0,0.0,1.0,0.06003098373353989,0.9999999999938782,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7609984278766697,0.11289697908597986,0.0,0.5075522850503486,0.9999999537816114,0.012199845081332301,0.9618289732786238,0.07629744384198296,0.9999695412655754,0.0296281951975213,0.9073366274306808,1.8389172595012493E-4
41,"TGFB2",7042,0.9982007696502397,0.021301316808675447,1.0,0.11057319907048799,0.9999787220420902,0.018590240123934933,0.9999999999999991,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.9979825926034637,0.007552285050348567,0.8424806582671714,0.197714949651433,0.4886328902824503,0.1444616576297444,0.0,0.5075522850503486,0.999999998778031,0.012199845081332301,0.9999999902399344,0.015104570100697134,1.0,0.023818745158791635,0.8999499085519105,1.857536372493751E-4
42,"MAP2K1",5604,0.9998160999512332,0.007939581719597211,0.9999999999999996,0.11057319907048799,0.9999996323991349,0.009876065065840434,0.9999999999999996,0.04124709527498063,0.9999999999999991,0.06003098373353989,1.0,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7609984265152371,0.11289697908597986,0.0,0.5075522850503486,0.9999911579100165,0.019558481797056545,0.1963161100404515,0.20178156467854377,0.9999999999999996,0.023818745158791635,0.8702491351052689,1.928169691975956E-4
43,"COL11A1",1301,0.7090460437358036,0.11696359411309062,0.9999999999999987,0.11057319907048799,0.9983078480934566,0.046475600309837335,1.0,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.8487546321369307,0.022463206816421378,0.8424728351767343,0.197714949651433,0.11197330518736928,0.17873741285824943,0.4882945011155399,0.004453911696359412,0.999999291292261,0.013361735089078234,0.9994867027255516,0.03582494190549961,0.9999999249875059,0.023818745158791635,0.8861760276666973,1.9583906410469698E-4
44,"NR3C1",2908,0.9999887510126771,0.002517428350116189,0.9999999999999996,0.11057319907048799,0.9999874977320287,0.017815646785437646,1.0,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.5390894412913514,0.04144074360960496,0.8424806582671711,0.197714949651433,0.7609984278766825,0.11289697908597986,0.0,0.5075522850503486,0.9999998466296606,0.012393493415956624,0.9989419846042676,0.03911696359411309,1.0,0.023818745158791635,0.8944747281788041,2.036105064276983E-4
45,"MYH9",4627,0.9998880974618423,0.007358636715724245,1.0,0.11057319907048799,0.9999999988652761,0.0087141750580945,0.9999999999996838,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.9257653506915093,0.017041053446940357,0.8424806582671711,0.197714949651433,0.7609984278766828,0.11289697908597986,0.0,0.5075522850503486,0.9999422867188,0.02865995352439969,0.9998966430692032,0.029047250193648334,0.9999999999999565,0.023818745158791635,0.9135034566047721,2.0434064707719468E-4
46,"LRP8",7804,0.9820388649496185,0.048024786986831915,0.9999999999999996,0.11057319907048799,0.999828005197124,0.02865995352439969,-1.0,0.0,0.9999999999999991,0.06003098373353989,0.6477838580019504,0.03446940356312936,0.8424806582671711,0.197714949651433,0.7453677756054976,0.11483346243222309,0.65718944276766,0.0017428350116189002,0.9999986808947939,0.01471727343144849,0.9999212830492522,0.027498063516653758,0.9589671581110374,0.07958946553059644,0.9474407005887613,2.0867647887756746E-4
47,"SLC9A1",6548,0.9996231287226839,0.009295120061967466,1.0,0.11057319907048799,0.9999999243313692,0.009101471727343146,0.9899069639794797,0.05170410534469404,0.9999999999991731,0.06003098373353989,0.8164087398305022,0.024012393493415957,0.8424806582671666,0.197714949651433,0.7540511208355379,0.1140588690937258,0.2009100863017742,0.009876065065840434,0.996014097723596,0.07164988381099922,0.23628615981081044,0.1959721146398141,0.9998769611246158,0.03427575522850503,0.8815572727132651,2.1260725497085353E-4
48,"MAPK1",5594,0.9996844120021446,0.008907823392718823,0.9999999999999996,0.11057319907048799,0.9999999977352217,0.0087141750580945,0.9999999999999996,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.9999999999999991,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7609984278766828,0.11289697908597986,0.0,0.5075522850503486,0.9999249435127534,0.03040278853601859,0.4005361161106887,0.17215336948102247,0.9999999999999996,0.023818745158791635,0.8860578769216536,2.13491407764832E-4
49,"PLK4",10733,0.9946224890270123,0.03505034856700232,1.0,0.11057319907048799,0.9999868919447414,0.017815646785437646,0.9999999999999991,0.04124709527498063,0.9999999992705618,0.06003098373353989,0.9931761494529815,0.009488768396591789,0.8424806582671714,0.197714949651433,0.7609982436848255,0.11289697908597986,-1.0,0.0,0.999999999999694,0.012199845081332301,0.9998241464362955,0.030983733539891558,0.9999507422747808,0.03117738187451588,0.9994346920492176,2.1360888006261014E-4
50,"SIRT1",23411,1.0,3.872966692486445E-4,0.9999999999999996,0.11057319907048799,0.999999708504029,0.009101471727343146,-1.0,0.0,0.9999999999999996,0.06003098373353989,0.9000569120090239,0.01839659178931061,0.8424806582671714,0.197714949651433,0.7609984278766588,0.11289697908597986,0.0,0.5075522850503486,0.9917888740341406,0.08404337722695585,0.9971691959471626,0.0453137103020914,0.9999999999999991,0.023818745158791635,0.9039266053956659,2.165520543342403E-4
51,"NOTCH1",4851,0.9992258144768743,0.013942680092951201,0.9999999999999996,0.11057319907048799,0.9999907628989092,0.016072811773818745,0.9999999999999996,0.04124709527498063,1.0,0.06003098373353989,0.9948627886354179,0.008907823392718823,0.8424806582671711,0.197714949651433,0.7609984278121416,0.11289697908597986,0.0,0.5075522850503486,0.999999997371804,0.012199845081332301,0.9938335531692866,0.05247869868319133,0.9999999999999996,0.023818745158791635,0.9161632751502417,2.320112197837787E-4
