Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
FCN3	N	N
CD164L2	N	N
GPR3	N	Y
WASF2	Y	N
AHDC1	N	N
FGR	N	Y
IFI6	N	N
FAM76A	N	N
STX12	N	N
PPP1R8	Y	N
C1orf38	N	N
RPA2	N	N
SMPDL3B	N	N
XKR8	N	N
EYA3	N	Y
PTAFR	N	Y
AL353354.1	N	N
DNAJC8	N	N
ATPIF1	N	N
SESN2	N	Y
MED18	N	N
PHACTR4	Y	N
RCC1	N	N
TRNAU1AP	N	N
TAF12	N	N
RAB42	N	N
GMEB1	N	N
YTHDF2	N	N
OPRD1	N	Y
EPB41	N	Y
TMEM200B	N	N
SRSF4	N	N
MECR	N	N
PTPRU	N	N
MATN1	N	Y
LAPTM5	N	Y
SDC3	N	Y
PUM1	N	N
NKAIN1	N	N
SNRNP40	N	N
ZCCHC17	N	N
FABP3	N	Y
SERINC2	N	N
TINAGL1	N	N
HCRTR1	N	Y
PEF1	N	N
COL16A1	N	N
BAI2	N	Y
SPOCD1	N	N
PTP4A2	N	N
AL136115.1	N	N
KHDRBS1	Y	N
TMEM39B	N	N
KPNA6	N	Y
TXLNA	N	N
CCDC28B	N	N
IQCC	N	N
DCDC2B	N	N
TMEM234	N	N
EIF3I	N	N
FAM167B	N	N
LCK	N	Y
HDAC1	Y	N
MARCKSL1	Y	N
TSSK3	N	N
RP4-811H24.6	N	N
BSDC1	N	N
RP1-27O5.3	N	N
ZBTB8B	N	N
ZBTB8A	N	N
ZBTB8OS	N	N
RBBP4	N	N
SYNC	N	Y
KIAA1522	N	N
YARS	N	N
S100PBP	N	N
FNDC5	N	N
HPCA	N	Y
TMEM54	N	N
RNF19B	N	Y
AK2	N	N
ADC	N	N
TRIM62	N	N
ZNF362	N	N
PHC2	N	Y
ZSCAN20	N	N
CSMD2	N	N
HMGB4	N	N
C1orf94	N	N
C1orf212	N	N
GJB5	Y	N
GJB4	N	Y
GJB3	Y	N
GJA4	N	Y
DLGAP3	N	Y
ZMYM6	N	N
ZMYM6NB	N	N
ZMYM1	N	N
SFPQ	N	N
ZMYM4	N	N
KIAA0319L	N	N
NCDN	Y	N
TFAP2E	N	Y
PSMB2	N	N
C1orf216	N	N
CLSPN	N	N
EIF2C4	N	N
EIF2C1	N	N
EIF2C3	N	N
TEKT2	N	Y
ADPRHL2	N	N
COL8A2	N	Y
TRAPPC3	N	N
MAP7D1	N	N
THRAP3	N	N
SH3D21	N	N
FAM176B	N	N
AL591845.1	N	N
STK40	N	N
LSM10	N	N
OSCP1	N	N
MRPS15	N	N
CSF3R	N	Y
GRIK3	N	Y
ZC3H12A	N	Y
MEAF6	N	N
SNIP1	N	N
DNALI1	N	N
GNL2	N	N
RSPO1	N	Y
C1orf109	N	N
CDCA8	Y	N
EPHA10	N	N
MANEAL	N	N
YRDC	N	N
C1orf122	N	N
MTF1	Y	N
AL929472.1	N	N
INPP5B	N	Y
SF3A3	N	N
FHL3	N	N
UTP11L	N	N
POU3F1	Y	N
RRAGC	N	N
MYCBP	N	N
GJA9	N	N
RHBDL2	N	N
AKIRIN1	N	Y
NDUFS5	N	N
MACF1	Y	N
KIAA0754	N	N
BMP8A	N	Y
PABPC4	N	N
HEYL	N	Y
NT5C1A	N	N
HPCAL4	N	N
PPIE	N	N
BMP8B	Y	N
OXCT2	N	N
TRIT1	N	N
MYCL1	N	Y
MFSD2A	N	N
CAP1	N	N
PPT1	N	Y
RLF	N	N
TMCO2	N	N
ZMPSTE24	Y	N
COL9A2	N	N
SMAP2	N	N
ZNF643	N	N
ZNF642	N	N
DEM1	N	N
ZNF684	N	N
RIMS3	N	N
NFYC	N	N
KCNQ4	N	Y
CITED4	N	N
CTPS1	N	N
SLFNL1	N	N
SCMH1	N	Y
FOXO6	N	N
EDN2	N	N
HIVEP3	N	Y
GUCA2B	N	Y
GUCA2A	N	Y
FOXJ3	N	Y
RIMKLA	N	N
ZMYND12	N	N
PPCS	N	N
CCDC30	N	N
PPIH	N	N
YBX1	Y	N
CLDN19	N	Y
LEPRE1	N	Y
C1orf50	N	N
CCDC23	N	N
ERMAP	N	N
ZNF691	N	N
SLC2A1	Y	N
FAM183A	N	N
EBNA1BP2	N	N
WDR65	N	N
TMEM125	N	N
C1orf210	N	N
TIE1	Y	N
MPL	N	Y
CDC20	Y	N
ELOVL1	N	N
MED8	N	N
SZT2	Y	N
HYI	N	N
PTPRF	N	Y
KDM4A	N	N
ST3GAL3	N	N
ARTN	N	Y
IPO13	N	N
DPH2	N	N
ATP6V0B	N	N
B4GALT2	N	Y
CCDC24	N	N
SLC6A9	Y	N
KLF17	N	N
DMAP1	Y	N
ERI3	N	N
RNF220	N	N
TMEM53	N	N
C1orf228	N	N
KIF2C	N	N
RPS8	N	N
BEST4	N	N
PLK3	N	Y
TCTEX1D4	N	N
BTBD19	N	N
