Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
GFI1	0	1
EVI5	0	0
RPL5	0	0
FAM69A	0	0
MTF2	1	0
TMED5	0	0
CCDC18	0	0
DR1	0	0
FNBP1L	0	0
BCAR3	0	1
DNTTIP2	0	0
GCLM	0	1
ABCA4	0	1
ARHGAP29	0	0
ABCD3	0	0
F3	1	0
SLC44A3	0	0
CNN3	0	0
ALG14	0	0
TMEM56	0	0
RWDD3	0	0
PTBP2	0	0
DPYD	0	0
SNX7	0	0
LPPR5	0	0
RP4-788L13.1	0	0
PALMD	0	0
FRRS1	0	0
AGL	0	0
SLC35A3	0	0
HIAT1	0	0
SASS6	0	0
TRMT13	0	0
LRRC39	0	0
DBT	1	0
RTCA	0	0
CDC14A	0	0
GPR88	0	0
VCAM1	1	0
EXTL2	0	0
SLC30A7	0	1
DPH5	0	0
S1PR1	1	0
OLFM3	0	0
COL11A1	1	0
RNPC3	0	0
AMY2B	0	0
AMY2A	0	0
AMY1A	0	0
AMY1B	0	0
AMY1C	0	0
PRMT6	0	0
NTNG1	0	0
VAV3	0	1
SLC25A24	0	0
NBPF4	0	0
NBPF6	0	0
FAM102B	0	0
HENMT1	0	0
PRPF38B	0	0
FNDC7	0	0
STXBP3	1	0
AKNAD1	0	0
GPSM2	0	1
CLCC1	0	0
WDR47	0	0
TAF13	0	0
TMEM167B	0	0
C1orf194	0	0
KIAA1324	0	0
SARS	0	0
CELSR2	0	1
PSRC1	0	0
MYBPHL	0	0
SORT1	0	1
PSMA5	0	0
SYPL2	0	1
ATXN7L2	0	0
CYB561D1	0	0
AMIGO1	0	0
GPR61	0	0
GNAI3	0	1
GNAT2	0	1
AMPD2	0	0
GSTM4	0	0
GSTM2	0	0
GSTM1	0	1
GSTM5	0	0
GSTM3	0	0
EPS8L3	0	0
CSF1	1	0
AHCYL1	0	0
FAM40A	0	0
ALX3	0	1
UBL4B	0	0
SLC6A17	0	0
KCNC4	0	0
RBM15	1	0
SLC16A4	0	0
HBXIP	0	0
PROK1	0	0
KCNA10	0	0
KCNA2	1	0
KCNA3	0	1
CD53	0	0
LRIF1	0	0
DRAM2	0	0
CEPT1	0	0
DENND2D	0	0
CHI3L2	0	0
CHIA	0	0
C1orf88	1	0
OVGP1	0	0
WDR77	1	0
ATP5F1	0	0
C1orf162	0	0
ADORA3	0	1
RAP1A	1	0
FAM212B	0	0
DDX20	1	0
KCND3	0	0
CTTNBP2NL	0	0
WNT2B	0	1
ST7L	0	0
CAPZA1	0	0
MOV10	0	0
RHOC	0	1
PPM1J	0	0
FAM19A3	0	0
SLC16A1	0	0
LRIG2	0	0
MAGI3	0	0
PHTF1	0	0
RSBN1	0	0
PTPN22	0	1
BCL2L15	0	0
AP4B1	0	1
DCLRE1B	1	0
HIPK1	0	1
OLFML3	0	1
SYT6	0	0
TRIM33	1	0
BCAS2	0	0
DENND2C	0	0
AMPD1	0	0
NRAS	0	1
CSDE1	0	0
SIKE1	0	0
SYCP1	0	1
TSHB	0	0
TSPAN2	0	0
NGF	1	0
VANGL1	0	1
CASQ2	0	1
NHLH2	0	1
SLC22A15	0	0
MAB21L3	0	0
ATP1A1	1	0
ATP1A1OS	0	0
CD58	0	0
IGSF3	0	0
C1orf137	0	0
CD2	0	1
PTGFRN	0	0
CD101	0	1
TTF2	0	0
TRIM45	0	0
VTCN1	0	1
MAN1A2	1	0
FAM46C	0	0
GDAP2	0	0
WDR3	0	0
SPAG17	0	0
TBX15	1	0
WARS2	0	0
HAO2	0	0
HSD3B2	0	0
HSD3B1	0	0
ZNF697	0	0
PHGDH	1	0
HMGCS2	0	0
REG4	0	0
ADAM30	0	0
NOTCH2	1	0
FAM72B	0	0
FCGR1B	0	0
PPIAL4G	0	0
FAM72D	0	0
RP3-377D14.1	0	0
AL592284.2	0	0
PPIAL4B	0	0
NBPF9	0	0
PDE4DIP	0	0
NOTCH2NL	0	0
RP11-458D21.5	0	0
NBPF10	0	0
HFE2	0	1
TXNIP	0	1
POLR3GL	0	0
ANKRD34A	0	0
LIX1L	0	0
RBM8A	0	0
GNRHR2	0	0
PEX11B	1	0
ITGA10	0	1
ANKRD35	0	0
PIAS3	0	0
NUDT17	0	0
POLR3C	0	0
RNF115	0	0
CD160	0	0
PDZK1	0	1
GPR89A	0	0
GPR89C	0	0
WI2-3658N16.1	0	0
NBPF11	0	0
NBPF12	0	0
PRKAB2	0	1
FMO5	0	0
CHD1L	0	0
BCL9	0	0
ACP6	0	0
GJA5	1	0
GJA8	0	1
GPR89B	0	0
NBPF24	0	0
PPIAL4A	0	0
NBPF14	0	0
PPIAL4D	0	0
NBPF20	0	0
NBPF15	0	0
NBPF16	0	0
HIST2H3PS2	0	0
FAM72C	0	0
PPIAL4C	0	0
AL358813.2	0	0
FCGR1A	0	1
HIST2H2BF	0	0
HIST2H3D	0	0
HIST2H4A	0	0
