Rank,ID,Name,Interactant count,Score
6845,6581,SLC22A3,2,1.67E-06
6846,683,BST1,2,1.67E-06
6847,6512,SLC1A7,2,1.66E-06
6848,346389,MACC1,2,1.66E-06
6849,114905,C1QTNF7,2,1.66E-06
6850,56884,FSTL5,2,1.66E-06
6851,56107,PCDHGA9,2,1.66E-06
6852,56108,PCDHGA7,2,1.66E-06
6853,79891,ZNF671,2,1.66E-06
6854,55328,RNLS,2,1.66E-06
6855,7567,ZNF19,2,1.65E-06
6856,139105,BEND2,2,1.64E-06
6857,1389,CREBL2,2,1.64E-06
6858,51267,CLEC1A,2,1.64E-06
6859,2334,AFF2,2,1.64E-06
6860,26025,PCDHGA12,2,1.63E-06
6861,9376,SLC22A8,2,1.63E-06
6862,80148,SLC66A2,2,1.62E-06
6863,7639,ZNF85,2,1.62E-06
6864,80341,BPIFB2,2,1.62E-06
6865,29989,OBP2B,2,1.61E-06
6866,55762,ZNF701,2,1.61E-06
6867,220074,LRTOMT,2,1.61E-06
