PCDH12,86.42,75.33,54.49,99.75,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],1,0.0016,3,0.0007738,0.45740,2.02 [0.04 - 25.22],8,0.0125,35,0.009,0.3803,2,0.0031,6,0.0015,0.3165
BRPF3,7.54,2.08,5.78,98.83,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,0,0,1,-,7,0.0109,24,0.0062,0.192,1,0.0016,4,0.001,0.5343
CDH7,10.46,3.43,31.09,100.00,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,1,0.0002579,1,0 [0 - 235.39],4,0.0062,14,0.0036,0.3083,0,0,3,0.0007738,1
MYLK4,77.06,50.89,40.77,100.00,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,2,0.0005159,1,0 [0 - 32.25],6,0.0094,10,0.0026,0.0179,1,0.0016,1,0.0002579,0.2633
PRKCG,14.50,13.03,2.34,96.31,-,-,Yes,Yes,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,0,0,1,-,4,0.0062,4,0.001,0.0174,1,0.0016,6,0.0015,1
DENND1C,93.47,94.71,45.52,91.43,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,3,0.0007738,1,0 [0 - 14.67],7,0.0109,14,0.0036,0.0213,0,0,1,0.0002579,1
DRC1,89.31,97.32,86.38,72.50,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],2,0.0031,9,0.0023,0.66160,1.35 [0.14 - 6.53],5,0.0078,21,0.0054,0.4031,0,0,3,0.0007738,1
COL19A1,44.12,94.61,79.09,100.00,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],2,0.0031,6,0.0015,0.31650,2.02 [0.2 - 11.34],12,0.0188,36,0.0093,0.0375,1,0.0016,3,0.0007738,0.4574
SCN1B,83.25,24.12,36.12,100.00,Yes,-,-,-,Yes,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,4,0.0062,5,0.0013,0.0279,0,0,4,0.001,1
UNC50,59.76,36.24,46.39,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,3,0.0047,2,0.0005159,0.0227,0,0,2,0.0005159,1
