,Gene_Name,mantis_ml_proba,mantis_ml_perc
521,SYNPO,0.674360118,97.20283475
522,EEF1A1,0.67384401,97.19746591
523,MECP2,0.673821472,97.19209707
524,CA2,0.673686403,97.18672823
525,TMSB4X,0.673631105,97.18135939
526,SATB1,0.673416478,97.17599055
527,DAXX,0.673385306,97.17062171
528,GAD2,0.673275386,97.16525287
529,PHACTR4,0.673167334,97.15988403
530,PHGDH,0.673033747,97.15451519
531,PPP3R1,0.673017294,97.14914635
532,CCP110,0.672901286,97.14377752
533,NIPBL,0.672742459,97.13840868
534,SPNS1,0.672723628,97.13303984
535,CHRNB1,0.672600674,97.127671
536,PPP3CA,0.672397485,97.12230216
537,VCL,0.672360849,97.11693332
538,UBA1,0.67234686,97.11156448
539,CHRD,0.672229028,97.10619564
540,HSP90B1,0.672025287,97.1008268
541,GBA,0.67192346,97.09545796
542,DNAJC5,0.671855307,97.09008912
543,GABRA6,0.671761509,97.08472028
544,ABI1,0.671508461,97.07935144
545,SNRNP70,0.671435472,97.0739826
546,BRAF,0.671354931,97.06861377
547,MYO1E,0.67129943,97.06324493
548,VPS18,0.671221601,97.05787609
549,RAI1,0.671152072,97.05250725
550,SENP2,0.671105703,97.04713841
551,FURIN,0.670972609,97.04176957
552,SEMA5A,0.670916965,97.03640073
553,P2RX4,0.670826679,97.03103189
554,MCPH1,0.670750219,97.02566305
555,DYNC1LI1,0.670721294,97.02029421
556,PANK2,0.670660089,97.01492537
557,INTS1,0.670447232,97.00955653
558,SLC6A11,0.670386862,97.00418769
559,CHGB,0.670261073,96.99881886
560,TNFRSF21,0.670009273,96.99345002
561,ARHGAP5,0.669970443,96.98808118
562,GSK3A,0.669812122,96.98271234
563,MAPK3,0.66970497,96.9773435
564,RNF111,0.669662636,96.97197466
565,PAK1,0.669580773,96.96660582
566,PLD2,0.669443014,96.96123698
567,CEBPB,0.669436267,96.95586814
568,EEF2K,0.669259172,96.9504993
569,SIX1,0.669140865,96.94513046
570,GAS1,0.669111668,96.93976162
571,SEZ6L2,0.669080885,96.93439278
572,ECSIT,0.668969272,96.92902395
573,ALDH3A2,0.668720993,96.92365511
574,IGF2R,0.668493642,96.91828627
575,UCHL1,0.66829447,96.91291743
576,FAT4,0.668258597,96.90754859
577,SMARCC1,0.668058712,96.90217975
578,SEMA4C,0.667923909,96.89681091
579,ARNTL,0.667903628,96.89144207
580,BMI1,0.667787697,96.88607323
581,HECTD3,0.667439529,96.88070439
582,MCU,0.66731839,96.87533555
583,PKD1,0.667097334,96.86996671
584,RORA,0.667081303,96.86459787
585,POLD1,0.666860557,96.85922903
586,PLRG1,0.66678021,96.8538602
587,RAD50,0.666779839,96.84849136
