Gene_Name	GOA_Kidney_Research_Priority
P11957	Yes
P18055	Yes
P33MONOX	Yes
P3.58	Yes
P3H2	Yes
P4HA2	Yes
P55942	Yes
P55943	Yes
P80289	Yes
P80290	Yes
P80291	Yes
P80292	Yes
PAK1	Yes
PAK2	Yes
PAK3	Yes
PAK4	Yes
PAK5	Yes
PAK6	Yes
PALLD	Yes
PAM	Yes
PANDA_000148	Yes
PANDA_000324	Yes
PANDA_001397	Yes
PANDA_002390	Yes
PANDA_002743	Yes
PANDA_003019	Yes
PANDA_003072	Yes
PANDA_003456	Yes
PANDA_003580	Yes
PANDA_003859	Yes
PANDA_003979	Yes
PANDA_004016	Yes
PANDA_005664	Yes
PANDA_005946	Yes
PANDA_006422	Yes
PANDA_006482	Yes
PANDA_007979	Yes
PANDA_008702	Yes
PANDA_009156	Yes
PANDA_009178	Yes
PANDA_009317	Yes
PANDA_009788	Yes
PANDA_010022	Yes
PANDA_010694	Yes
PANDA_010743	Yes
PANDA_010875	Yes
PANDA_013598	Yes
PANDA_014138	Yes
PANDA_014230	Yes
PANDA_015074	Yes
PANDA_015980	Yes
PANDA_016948	Yes
PANDA_017396	Yes
PANDA_019348	Yes
PANDA_020053	Yes
PANDA_020601	Yes
PANDA_022198	Yes
PANK2	Yes
PAOX	Yes
PAPLN	Yes
PAPPA	Yes
PARD3	Yes
PAWR	Yes
PAX2	Yes
PAX-2	Yes
PAX2-A	Yes
PAX2-B	Yes
PAX8	Yes
PAXIP1	Yes
PBX1	Yes
PBX2	Yes
PCDH20	Yes
PCID2	Yes
PCK1	Yes
PCK2	Yes
PCNA	Yes
PCP4	Yes
PCSK5	Yes
PCSK9	Yes
PDE2A	Yes
PDE2A3	Yes
PDE4DIP	Yes
PDE5A	Yes
PDGFA	Yes
PDGFB	Yes
PDGFRA	Yes
PDGFRB	Yes
PDPN	Yes
PDSS2	Yes
PECR	Yes
PEX1	Yes
PEX10	Yes
PEX11A	Yes
PEX11B	Yes
PEX11G	Yes
PEX12	Yes
PEX13	Yes
PEX14	Yes
PEX16	Yes
PEX19	Yes
PEX2	Yes
PEX26	Yes
PEX3	Yes
PEX5	Yes
PEX5L	Yes
PEX6	Yes
PEX7	Yes
PFKFB3	Yes
PFN1	Yes
PFN2	Yes
PFN3	Yes
PFN4	Yes
PHF8	Yes
PHYH	Yes
PIBF1	Yes
PIK3CA	Yes
PIK3CB	Yes
PIK3CD	Yes
PIK3CG	Yes
PIK3R1	Yes
PIK3R2	Yes
PIK3R3	Yes
PIK3R5	Yes
PIKFYVE	Yes
PIP4K2A	Yes
PIP4K2B	Yes
PIP4K2C	Yes
PIP5K1A	Yes
PIP5K1B	Yes
PIP5K1C	Yes
PIPOX	Yes
PJA1	Yes
PKD1	Yes
PKD2	Yes
PKHD1	Yes
PKHD1L1	Yes
PLA2G7	Yes
PLA2R1	Yes
PLAT	Yes
PLAU	Yes
PLAUR	Yes
PLCB1	Yes
PLCB2	Yes
PLCB3	Yes
PLCB4	Yes
PLCD1	Yes
PLCD3	Yes
PLCD4	Yes
PLCE1	Yes
PLCG1	Yes
PLCG2	Yes
PLCZ1	Yes
PLD3	Yes
PLEK	Yes
PLG	Yes
PLN	Yes
PLP2	Yes
PLPP3	Yes
PLPP5	Yes
PLS3	Yes
PLSCR1	Yes
PMAIP1	Yes
PMM2	Yes
PMP22	Yes
PMVK	Yes
PNMA1	Yes
PNMA2	Yes
PNPLA8	Yes
PODXL	Yes
POLE3	Yes
POM121L1P	Yes
POMC	Yes
