,Gene_Name,mantis_ml_proba,mantis_ml_perc
243,KCNC3,0.773103279,98.69537206
244,ITGB1,0.773006909,98.69000322
245,ECSIT,0.772885689,98.68463438
246,SH3GL1,0.772614223,98.67926554
247,COX4I1,0.772503565,98.6738967
248,HCN2,0.772441646,98.66852786
249,ACTG1,0.772303469,98.66315903
250,HSD17B4,0.772278872,98.65779019
251,PDHX,0.772064712,98.65242135
252,CACNA1C,0.772016802,98.64705251
253,REV3L,0.772013671,98.64168367
254,STX1B,0.771922665,98.63631483
255,HDAC6,0.771800742,98.63094599
256,KDM6B,0.771483945,98.62557715
257,S1PR1,0.771342366,98.62020831
258,CALB2,0.771215733,98.61483947
259,SPTAN1,0.771139776,98.60947063
260,CACNA1A,0.770605806,98.60410179
261,KIF5C,0.770215082,98.59873295
262,GALT,0.770186546,98.59336411
263,MBD4,0.770107147,98.58799528
264,PLD1,0.769991065,98.58262644
265,PIGA,0.769710379,98.5772576
266,GGCX,0.769674175,98.57188876
267,PYGO2,0.769460702,98.56651992
268,ALDH5A1,0.769323129,98.56115108
269,DMXL2,0.76927442,98.55578224
270,DHX35,0.769261721,98.5504134
271,USE1,0.769256319,98.54504456
272,PPP1R3C,0.768963597,98.53967572
273,KDM2A,0.768753603,98.53430688
274,RALA,0.768695009,98.52893804
275,GAP43,0.768398917,98.5235692
276,COQ9,0.767993259,98.51820037
277,NALCN,0.767849317,98.51283153
278,NUAK2,0.767729039,98.50746269
279,SUZ12,0.767688378,98.50209385
280,CKAP5,0.767284831,98.49672501
281,PIBF1,0.767214605,98.49135617
282,SLC1A2,0.767072342,98.48598733
283,LPIN1,0.766744294,98.48061849
